Municipios;Sexo;Periodo;Total
15 Coruña, A;Total;2021;1.120.134
15 Coruña, A;Total;2020;1.121.815
15 Coruña, A;Total;2019;1.119.596
15 Coruña, A;Total;2018;1.119.351
15 Coruña, A;Total;2017;1.120.294
15 Coruña, A;Total;2016;1.122.799
15 Coruña, A;Total;2015;1.127.196
15 Coruña, A;Total;2014;1.132.735
15 Coruña, A;Total;2013;1.138.161
15 Coruña, A;Total;2012;1.143.911
15 Coruña, A;Total;2011;1.147.124
15 Coruña, A;Total;2010;1.146.458
15 Coruña, A;Total;2009;1.145.488
15 Coruña, A;Total;2008;1.139.121
15 Coruña, A;Total;2007;1.132.792
15 Coruña, A;Total;2006;1.129.141
15 Coruña, A;Total;2005;1.126.707
15 Coruña, A;Total;2004;1.121.344
15 Coruña, A;Total;2003;1.120.814
15 Coruña, A;Total;2002;1.111.886
15 Coruña, A;Total;2001;1.108.002
15 Coruña, A;Total;2000;1.108.419
15 Coruña, A;Total;1999;1.108.980
15 Coruña, A;Total;1998;1.106.325
15001 Abegondo;Total;2021;5.494
15001 Abegondo;Total;2020;5.398
15001 Abegondo;Total;2019;5.406
15001 Abegondo;Total;2018;5.454
15001 Abegondo;Total;2017;5.467
15001 Abegondo;Total;2016;5.533
15001 Abegondo;Total;2015;5.586
15001 Abegondo;Total;2014;5.585
15001 Abegondo;Total;2013;5.664
15001 Abegondo;Total;2012;5.709
15001 Abegondo;Total;2011;5.709
15001 Abegondo;Total;2010;5.765
15001 Abegondo;Total;2009;5.798
15001 Abegondo;Total;2008;5.822
15001 Abegondo;Total;2007;5.808
15001 Abegondo;Total;2006;5.773
15001 Abegondo;Total;2005;5.756
15001 Abegondo;Total;2004;5.732
15001 Abegondo;Total;2003;5.761
15001 Abegondo;Total;2002;5.772
15001 Abegondo;Total;2001;5.694
15001 Abegondo;Total;2000;5.594
15001 Abegondo;Total;1999;5.480
15001 Abegondo;Total;1998;5.451
15002 Ames;Total;2021;31.993
15002 Ames;Total;2020;32.104
15002 Ames;Total;2019;31.793
15002 Ames;Total;2018;31.278
15002 Ames;Total;2017;30.835
15002 Ames;Total;2016;30.544
15002 Ames;Total;2015;30.267
15002 Ames;Total;2014;29.975
15002 Ames;Total;2013;29.689
15002 Ames;Total;2012;29.331
15002 Ames;Total;2011;28.852
15002 Ames;Total;2010;27.900
15002 Ames;Total;2009;26.983
15002 Ames;Total;2008;25.818
15002 Ames;Total;2007;24.553
15002 Ames;Total;2006;23.219
15002 Ames;Total;2005;22.228
15002 Ames;Total;2004;20.840
15002 Ames;Total;2003;20.016
15002 Ames;Total;2002;18.788
15002 Ames;Total;2001;17.737
15002 Ames;Total;2000;16.549
15002 Ames;Total;1999;15.318
15002 Ames;Total;1998;14.189
15003 Aranga;Total;2021;1.833
15003 Aranga;Total;2020;1.834
15003 Aranga;Total;2019;1.849
15003 Aranga;Total;2018;1.894
